Employee_ID,Module,Completion_Pct,Due_Date
EMP045,SFDC Basics,95.7,2026-02-09
EMP045,Cross-sell,54.5,2026-06-24
EMP046,SFDC Basics,71.1,2026-06-23
EMP046,Collection Mgmt,46.5,2026-05-08
EMP046,Cross-sell,49.7,2026-05-15
EMP047,SFDC Basics,77.6,2026-06-08
EMP047,Negotiation,48.5,2026-03-31
EMP047,Cross-sell,55.7,2026-04-15
EMP048,Cross-sell,96.5,2026-03-06
EMP048,Product Knowledge,55.9,2026-03-26
EMP048,Negotiation,87.9,2026-04-21
EMP049,Product Knowledge,92.5,2026-02-02
EMP049,Negotiation,45.9,2026-01-14
EMP049,SFDC Basics,67.7,2026-02-09
EMP050,SFDC Basics,60.5,2026-03-04
EMP050,Product Knowledge,65.1,2026-01-22
EMP050,Collection Mgmt,55.0,2026-06-16
