Invoice_No,Payment_Value,Payment_Date,DSO_Days
INV000337,381319.58,2025-07-25,0
INV000338,939544.65,2025-08-13,30
INV000339,758998.6,2025-07-14,0
INV000340,662577.5,2025-07-14,0
INV000341,742451.78,2025-07-20,15
INV000342,428463.97,2025-07-11,0
INV000343,1028036.84,2025-07-27,0
INV000344,1032395.97,2025-07-01,0
INV000345,428878.6,2025-07-16,0
INV000346,103762.01,2025-09-05,60
INV000347,480235.27,2025-07-14,0
INV000348,239557.01,2025-07-10,0
INV000349,210376.41,2025-08-04,15
INV000350,163145.23,2025-07-10,0
INV000351,302820.04,2025-07-15,0
INV000352,557487.84,2025-08-11,15
INV000353,1581849.75,2025-07-20,0
INV000354,1289129.0,2025-07-12,0
INV000355,568840.05,2025-08-17,45
INV000356,1477610.98,2025-07-09,0
INV000357,269383.15,2025-07-03,0
INV000358,145187.59,2025-07-04,0
INV000359,483723.59,2025-07-13,0
INV000360,502497.61,2025-07-03,0
INV000361,259146.71,2025-09-08,60
INV000362,383292.93,2025-07-02,0
INV000363,184925.4,2025-07-06,0
INV000364,96321.06,2025-08-16,45
INV000365,596190.71,2025-08-01,15
INV000366,402766.16,2025-08-26,30
INV000367,134457.69,2025-07-13,0
INV000368,83014.2,2025-08-05,30
INV000369,84496.57,2025-07-12,0
INV000370,191362.38,2025-07-08,0
INV000371,193320.02,2025-07-09,0
INV000372,125539.62,2025-07-06,0
INV000373,54288.5,2025-08-26,45
INV000374,113093.63,2025-09-10,60
INV000375,89010.21,2025-07-06,0
INV000376,47298.02,2025-08-12,30
INV000377,235718.4,2025-09-07,45
INV000378,1114450.33,2025-07-17,0
INV000379,540280.16,2025-08-08,30
INV000380,557574.97,2025-07-26,15
INV000381,571796.93,2025-08-04,30
INV000382,345000.87,2025-07-05,0
INV000383,159144.46,2025-07-17,0
INV000384,706073.52,2025-07-19,0
INV000385,463293.87,2025-07-24,0
INV000386,98521.27,2025-08-18,45
INV000387,323751.02,2025-07-08,0
INV000388,115339.43,2025-08-12,30
INV000389,174923.64,2025-07-10,0
INV000390,486535.9,2025-08-03,30
INV000391,235508.63,2025-07-09,0
INV000392,164368.63,2025-07-11,0
INV000393,323774.08,2025-08-20,30
INV000394,124390.54,2025-07-02,0
INV000395,299234.32,2025-07-25,0
INV000396,270395.0,2025-07-13,0
INV000397,246045.84,2025-07-02,0
INV000398,80739.63,2025-07-16,0
INV000399,289004.67,2025-07-24,0
INV000400,123531.33,2025-08-02,30
INV000401,221138.53,2025-08-10,30
INV000402,160506.37,2025-07-17,0
INV000403,252873.23,2025-08-19,30
INV000404,535547.77,2025-07-11,0
INV000405,225348.06,2025-09-11,60
INV000406,327736.27,2025-08-08,15
INV000407,187511.06,2025-07-05,0
INV000408,510236.26,2025-07-25,0
INV000409,59256.36,2025-09-14,30
INV000410,192316.5,2025-09-24,30
INV000411,98917.38,2025-08-23,0
INV000412,237991.46,2025-08-06,0
INV000413,386840.7,2025-09-24,30
INV000414,162143.04,2025-08-26,15
INV000415,358161.41,2025-08-16,0
INV000416,981339.21,2025-09-16,30
INV000417,662222.72,2025-08-18,0
INV000418,1038270.31,2025-08-02,0
INV000419,640301.12,2025-08-15,0
INV000420,541680.33,2025-08-14,0
INV000421,1898708.53,2025-08-02,0
INV000422,1102623.17,2025-08-23,0
INV000423,234383.98,2025-08-22,0
INV000424,302642.88,2025-09-23,45
INV000425,1595253.19,2025-08-03,0
INV000426,506469.73,2025-08-03,0
INV000427,938741.61,2025-09-24,45
INV000428,252872.66,2025-08-10,0
INV000429,437391.4,2025-08-26,0
INV000430,235251.91,2025-08-14,0
INV000431,470105.42,2025-08-11,0
INV000432,494822.21,2025-08-30,15
INV000433,133404.78,2025-08-01,0
INV000434,634322.65,2025-08-24,0
INV000435,282794.95,2025-08-31,30
INV000436,598186.49,2025-08-27,0
INV000437,422119.87,2025-08-18,0
INV000438,221747.75,2025-08-07,0
INV000439,749665.99,2025-09-03,30
INV000440,1002301.74,2025-08-10,0
INV000441,301344.81,2025-09-22,45
INV000442,710295.62,2025-08-09,0
INV000443,640181.34,2025-08-14,0
INV000444,313372.63,2025-09-10,15
INV000445,545133.85,2025-10-07,45
INV000446,183422.15,2025-09-04,30
INV000447,539139.65,2025-08-17,0
INV000448,685052.6,2025-08-01,0
INV000449,623382.63,2025-08-14,0
INV000450,70887.41,2025-09-04,15
INV000451,630806.62,2025-08-22,0
INV000452,507469.3,2025-08-02,0
INV000453,350878.66,2025-08-30,15
INV000454,565122.13,2025-08-11,0
INV000455,80352.18,2025-09-20,45
INV000456,249675.95,2025-09-08,15
INV000457,1427083.12,2025-08-14,0
INV000458,318375.96,2025-08-16,15
INV000459,1222457.01,2025-08-25,15
INV000460,857922.57,2025-08-04,0
INV000461,1362937.97,2025-08-19,0
INV000462,1272673.24,2025-10-19,60
INV000463,1010244.18,2025-08-25,0
INV000464,1220817.49,2025-08-27,0
INV000465,459305.28,2025-10-11,60
INV000466,319362.31,2025-08-26,0
INV000467,1312065.33,2025-09-01,30
INV000468,512686.52,2025-08-14,0
INV000469,840396.39,2025-08-17,0
INV000470,296472.55,2025-08-22,0
INV000471,237063.15,2025-08-05,0
INV000472,173870.3,2025-11-11,90
INV000473,149769.44,2025-09-15,30
INV000474,111527.42,2025-08-03,0
INV000475,325902.56,2025-08-19,0
INV000476,49034.94,2025-08-18,0
INV000477,47653.42,2025-09-24,30
INV000478,1135434.2,2025-08-21,0
INV000479,710242.04,2025-08-28,15
INV000480,1243410.9,2025-09-11,30
INV000481,1065750.57,2025-08-30,15
INV000482,1112744.58,2025-08-19,0
INV000483,1145370.02,2025-08-31,15
INV000484,662129.36,2025-09-05,15
INV000485,922898.65,2025-09-04,15
INV000486,1376560.21,2025-08-07,0
INV000487,797703.28,2025-09-20,30
INV000488,1242694.17,2025-09-21,30
INV000489,394560.24,2025-08-18,15
INV000490,798483.57,2025-08-09,0
INV000491,407480.04,2025-08-16,0
INV000492,465936.76,2025-08-12,0
INV000493,911433.47,2025-09-18,45
INV000494,545895.21,2025-08-15,0
INV000495,1079502.94,2025-08-14,0
INV000496,382845.69,2025-09-23,30
INV000497,273528.15,2025-09-01,15
INV000498,577277.92,2025-08-07,0
INV000499,553893.99,2025-08-27,0
INV000500,269537.42,2025-08-22,0
INV000501,114776.51,2025-09-20,30
INV000502,195128.28,2025-10-11,60
INV000503,85181.99,2025-09-16,30
INV000504,308628.67,2025-08-18,0
INV000505,317325.52,2025-08-08,0
INV000506,386021.11,2025-08-08,0
INV000507,838471.05,2025-08-18,0
INV000508,1767559.78,2025-08-02,0
INV000509,1030873.58,2025-09-14,30
INV000510,2024435.27,2025-08-23,15
INV000511,822649.89,2025-08-09,0
INV000512,738720.31,2025-08-15,0
INV000513,470488.1,2025-10-09,60
INV000514,488379.19,2025-08-11,0
INV000515,632601.65,2025-08-25,0
INV000516,597010.26,2025-09-01,30
INV000517,431337.79,2025-08-10,0
INV000518,92070.3,2025-08-27,0
INV000519,66534.08,2025-08-02,0
INV000520,301264.88,2025-09-02,15
INV000521,343579.32,2025-08-12,0
INV000522,276997.39,2025-09-11,30
INV000523,220229.94,2025-10-12,60
INV000524,365871.54,2025-08-16,0
INV000525,413385.95,2025-08-26,0
INV000526,2097829.64,2025-09-04,15
INV000527,1549782.26,2025-08-06,0
INV000528,786078.07,2025-08-09,0
INV000529,1335525.8,2025-08-08,0
INV000530,1758465.45,2025-09-04,30
INV000531,2079636.45,2025-08-07,0
INV000532,2546564.99,2025-09-10,15
INV000533,1948081.94,2025-08-03,0
INV000534,2475983.67,2025-08-23,0
INV000535,509176.55,2025-08-16,15
INV000536,717846.75,2025-08-01,0
INV000537,234619.44,2025-09-07,30
INV000538,420859.4,2025-09-16,30
INV000539,393953.34,2025-08-16,0
INV000540,803425.94,2025-08-22,0
INV000541,955189.75,2025-08-17,0
INV000542,655076.42,2025-08-17,0
INV000543,797319.07,2025-08-12,0
INV000544,1284337.84,2025-08-24,0
INV000545,446603.57,2025-08-29,15
INV000546,276655.0,2025-08-27,15
INV000547,652411.77,2025-08-12,0
INV000548,565347.84,2025-08-01,0
INV000549,260309.78,2025-08-04,0
INV000550,168619.51,2025-08-19,15
INV000551,107194.93,2025-08-15,0
INV000552,731090.21,2025-10-12,60
INV000553,269192.05,2025-09-13,30
INV000554,376207.61,2025-08-30,15
INV000555,897698.29,2025-08-22,0
INV000556,1129002.0,2025-08-05,0
INV000557,572260.32,2025-09-08,15
INV000558,863770.36,2025-08-24,0
INV000559,408399.11,2025-09-24,30
INV000560,1188805.28,2025-09-06,30
INV000561,463617.72,2025-08-14,0
INV000562,295604.06,2025-08-06,0
INV000563,148901.17,2025-08-19,15
INV000564,552135.46,2025-10-25,60
INV000565,172260.74,2025-10-14,60
INV000566,418436.22,2025-08-23,15
INV000567,246457.55,2025-08-27,0
INV000568,292988.65,2025-08-03,0
INV000569,467351.5,2025-08-27,15
INV000570,400287.08,2025-08-24,0
INV000571,281104.98,2025-08-03,0
INV000572,291147.12,2025-09-22,45
INV000573,444835.21,2025-08-22,15
INV000574,474455.36,2025-08-06,0
INV000575,447837.94,2025-09-15,30
INV000576,231077.12,2025-08-12,0
INV000577,519172.27,2025-09-25,30
INV000578,1306530.21,2025-09-02,15
INV000579,971556.9,2025-08-14,0
INV000580,1122739.4,2025-09-24,30
INV000581,1628116.59,2025-08-20,15
INV000582,1978844.29,2025-08-23,0
INV000583,1961117.72,2025-08-28,15
INV000584,831840.16,2025-08-22,0
INV000585,1438610.33,2025-08-03,0
INV000586,1341341.28,2025-10-02,45
INV000587,949812.88,2025-08-09,0
INV000588,471940.57,2025-08-16,0
INV000589,667727.04,2025-08-21,15
INV000590,610353.39,2025-08-28,15
INV000591,787413.14,2025-09-02,30
INV000592,198574.15,2025-08-21,0
INV000593,147356.49,2025-08-15,0
INV000594,308200.28,2025-09-10,30
INV000595,341342.65,2025-08-02,0
INV000596,45381.57,2025-09-28,45
INV000597,162783.58,2025-08-02,0
INV000598,54411.81,2025-08-07,0
INV000599,789018.3,2025-08-12,0
INV000600,516279.24,2025-10-02,45
INV000601,953014.21,2025-08-11,0
INV000602,798391.17,2025-08-09,0
INV000603,994336.16,2025-08-19,0
INV000604,1151636.06,2025-08-04,0
INV000605,399785.09,2025-08-22,15
INV000606,1307317.84,2025-08-15,0
INV000607,439653.5,2025-08-02,0
INV000608,1137515.12,2025-08-17,0
INV000609,477837.59,2025-08-17,15
INV000610,446565.22,2025-09-15,30
INV000611,364118.58,2025-09-28,45
INV000612,1010613.52,2025-08-24,0
INV000613,276651.4,2025-08-20,0
INV000614,378594.97,2025-08-27,0
INV000615,463180.79,2025-08-14,0
INV000616,468039.02,2025-08-05,0
INV000617,105703.38,2025-08-23,0
INV000618,619146.9,2025-09-08,15
INV000619,2012208.14,2025-08-14,0
INV000620,1907741.24,2025-08-22,0
INV000621,860011.54,2025-08-27,0
INV000622,2187352.49,2025-08-04,0
INV000623,1437810.28,2025-08-06,0
INV000624,1143370.81,2025-08-22,0
INV000625,1304455.9,2025-08-09,0
INV000626,336994.89,2025-08-01,0
INV000627,629664.52,2025-08-07,0
INV000628,490742.74,2025-09-24,30
INV000629,222255.03,2025-08-02,0
INV000630,700843.9,2025-08-09,0
INV000631,140306.79,2025-10-07,45
INV000632,317434.43,2025-08-04,0
INV000633,398159.92,2025-10-15,60
INV000634,83485.72,2025-08-18,0
INV000635,172171.68,2025-10-05,45
INV000636,400812.42,2025-08-27,0
INV000637,238168.03,2025-08-11,0
INV000638,133376.42,2025-08-16,0
INV000639,217544.65,2025-09-20,45
INV000640,200912.49,2025-08-25,0
INV000641,401312.14,2025-09-16,45
INV000642,661934.82,2025-08-22,0
INV000643,1273431.72,2025-08-08,0
INV000644,627138.6,2025-08-20,0
INV000645,1801476.05,2025-09-06,30
INV000646,915979.63,2025-08-22,15
INV000647,660570.32,2025-09-10,30
INV000648,384204.7,2025-11-21,90
INV000649,509498.1,2025-08-08,0
INV000650,330488.91,2025-08-25,0
INV000651,235341.29,2025-09-01,15
INV000652,599063.4,2025-08-15,0
INV000653,676700.25,2025-08-06,0
INV000654,473539.06,2025-08-03,0
INV000655,108762.38,2025-08-18,0
INV000656,588309.65,2025-08-24,0
INV000657,629688.01,2025-08-22,15
INV000658,424105.76,2025-08-06,0
INV000659,301534.46,2025-08-08,0
INV000660,92930.98,2025-08-22,0
INV000661,343478.17,2025-08-11,0
INV000662,375028.86,2025-08-16,0
INV000663,257784.72,2025-08-27,15
INV000664,553419.96,2025-08-16,15
INV000665,762921.2,2025-08-17,0
INV000666,293513.07,2025-08-29,15
INV000667,254098.63,2025-08-19,0
INV000668,1301987.83,2025-08-08,0
INV000669,964854.61,2025-08-25,15
INV000670,1042548.55,2025-08-21,0
INV000671,337023.46,2025-10-15,60
INV000672,803765.22,2025-08-02,0
INV000673,289767.63,2025-08-23,0
INV000674,740662.31,2025-09-20,30
INV000675,578390.43,2025-08-21,0
INV000676,432532.85,2025-09-10,30
INV000677,319451.28,2025-08-10,0
INV000678,467435.75,2025-09-17,30
INV000679,759925.38,2025-08-17,15
INV000680,287146.32,2025-09-08,30
INV000681,249158.43,2025-08-25,0
INV000682,807621.38,2025-08-10,0
INV000683,675842.84,2025-08-09,0
INV000684,563174.22,2025-08-04,0
INV000685,769505.48,2025-08-17,15
INV000686,1099995.54,2025-08-13,0
INV000687,1613958.66,2025-08-27,15
INV000688,1449521.24,2025-08-05,0
INV000689,1716551.65,2025-09-11,30
INV000690,782845.1,2025-08-01,0
INV000691,503133.88,2025-08-04,0
INV000692,1316111.1,2025-09-23,45
INV000693,1167339.93,2025-08-12,0
INV000694,1093045.99,2025-08-26,15
INV000695,1503314.45,2025-08-24,0
INV000696,336421.44,2025-09-08,30
INV000697,581514.23,2025-08-12,0
INV000698,962542.86,2025-08-25,15
INV000699,70744.76,2025-08-17,0
INV000700,185866.47,2025-08-04,0
INV000701,280447.08,2025-08-25,0
INV000702,116400.42,2025-08-10,0
INV000703,202666.03,2025-08-01,0
INV000704,221065.52,2025-08-22,0
INV000705,407420.3,2025-08-12,0
INV000706,601012.59,2025-08-29,15
INV000707,1188873.85,2025-08-18,0
INV000708,307931.27,2025-08-01,0
INV000709,650936.86,2025-08-06,0
INV000710,462562.95,2025-09-23,30
INV000711,248735.1,2025-08-14,0
INV000712,1249570.52,2025-08-05,0
INV000713,1210446.69,2025-08-13,0
INV000714,899009.33,2025-10-08,45
INV000715,162552.05,2025-09-11,30
INV000716,1137649.05,2025-08-11,0
INV000717,454123.12,2025-08-11,0
INV000718,518503.25,2025-09-03,15
INV000719,157211.77,2025-08-12,0
INV000720,289300.56,2025-08-12,0
INV000721,554267.76,2025-09-01,30
INV000722,658164.58,2025-08-03,0
INV000723,372509.44,2025-08-26,0
INV000724,248968.74,2025-08-04,0
INV000725,217871.06,2025-08-20,0
INV000726,459774.02,2025-09-05,30
INV000727,435361.16,2025-09-03,30
INV000728,2131464.53,2025-08-13,0
