Invoice_No,Date,Employee_ID,Customer_ID,Product_ID,Revenue,Margin,Discount_Pct,Invoice_Value,Month,Year,Quarter,Region,Division,Employee_Name,Designation,Performance_Tier,Customer_Name,Segment,Industry,Customer_Tier,Product_Name,Product_Division,Base_Margin_Pct,Unit_Count,Unit_Label
INV000031,2025-07-03,EMP004,CUST0055,PRD002,480726.93,54369.7,2.97,482763.49,Jul,2025,Q3,West,Express,Rep 4,VP Sales,Healthy,India B2B Account 55,Growth,Electronics,Healthy,International Express,Express,12.2,2321,Parcels
INV000032,2025-07-15,EMP004,CUST0015,PRD002,144408.13,15924.86,3.91,145624.45,Jul,2025,Q3,West,Express,Rep 4,VP Sales,Healthy,Hindustan Unilever,Standard,Pharma,Healthy,International Express,Express,12.2,684,Parcels
INV000033,2025-07-11,EMP004,CUST0133,PRD004,264387.99,33677.7,3.54,271588.68,Jul,2025,Q3,West,Express,Rep 4,VP Sales,Healthy,India B2B Account 133,Growth,Healthcare,Healthy,COD Services,Express,13.8,802,Parcels
INV000034,2025-07-11,EMP004,CUST0109,PRD004,124951.41,15712.2,4.08,119958.3,Jul,2025,Q3,West,Express,Rep 4,VP Sales,Healthy,India B2B Account 109,VIP,Healthcare,Healthy,COD Services,Express,13.8,422,Parcels
INV000035,2025-07-05,EMP004,CUST0048,PRD003,268662.83,34416.16,2.3,261818.89,Jul,2025,Q3,West,Express,Rep 4,VP Sales,Healthy,India B2B Account 48,Standard,Manufacturing,Healthy,Same-Day,Express,13.5,735,Parcels
INV000036,2025-07-20,EMP004,CUST0025,PRD004,494846.34,65531.58,1.86,496372.96,Jul,2025,Q3,West,Express,Rep 4,VP Sales,Healthy,Zomato Hyperpure,Growth,Manufacturing,Healthy,COD Services,Express,13.8,2276,Parcels
INV000037,2025-07-05,EMP004,CUST0045,PRD002,526955.0,57882.91,4.05,541570.56,Jul,2025,Q3,West,Express,Rep 4,VP Sales,Healthy,India B2B Account 45,VIP,FMCG,Healthy,International Express,Express,12.2,2909,Parcels
INV000038,2025-07-10,EMP004,CUST0051,PRD002,325662.99,37145.51,2.65,323531.96,Jul,2025,Q3,West,Express,Rep 4,VP Sales,Healthy,India B2B Account 51,Growth,Auto,Healthy,International Express,Express,12.2,1237,Parcels
INV000039,2025-07-26,EMP004,CUST0024,PRD001,302252.68,29034.86,4.31,292084.2,Jul,2025,Q3,West,Express,Rep 4,VP Sales,Healthy,Aditya Birla Fashion,VIP,Pharma,Healthy,Domestic Express,Express,10.9,867,Parcels
INV000040,2025-07-05,EMP004,CUST0173,PRD001,189974.12,20353.7,0.62,182735.21,Jul,2025,Q3,West,Express,Rep 4,VP Sales,Healthy,India B2B Account 173,Growth,Electronics,Healthy,Domestic Express,Express,10.9,891,Parcels
INV000041,2025-07-23,EMP005,CUST0013,PRD006,618105.04,80426.2,2.63,598773.13,Jul,2025,Q3,Central,Freight Forward,Rep 5,Sales Manager,Healthy,Cipla Healthcare,Standard,Manufacturing,Healthy,Sea Freight,Freight Forward,13.8,1,Shipments
INV000042,2025-07-21,EMP005,CUST0178,PRD008,693266.93,80880.32,1.11,722430.3,Jul,2025,Q3,Central,Freight Forward,Rep 5,Sales Manager,Healthy,India B2B Account 178,Growth,Electronics,Healthy,Project Cargo,Freight Forward,12.0,2,Shipments
INV000043,2025-07-02,EMP005,CUST0101,PRD005,554233.15,60392.86,3.68,561034.09,Jul,2025,Q3,Central,Freight Forward,Rep 5,Sales Manager,Healthy,India B2B Account 101,Growth,E-commerce,Healthy,Air Freight,Freight Forward,12.0,1,Shipments
INV000044,2025-07-06,EMP005,CUST0136,PRD008,1193946.7,135207.45,2.25,1210544.19,Jul,2025,Q3,Central,Freight Forward,Rep 5,Sales Manager,Healthy,India B2B Account 136,Standard,Manufacturing,Healthy,Project Cargo,Freight Forward,12.0,2,Shipments
INV000045,2025-07-22,EMP005,CUST0100,PRD008,486554.41,57294.34,0.75,484523.63,Jul,2025,Q3,Central,Freight Forward,Rep 5,Sales Manager,Healthy,India B2B Account 100,VIP,Healthcare,Healthy,Project Cargo,Freight Forward,12.0,1,Shipments
INV000046,2025-07-18,EMP005,CUST0024,PRD008,609826.27,65518.38,4.19,598797.96,Jul,2025,Q3,Central,Freight Forward,Rep 5,Sales Manager,Healthy,Aditya Birla Fashion,VIP,Pharma,Healthy,Project Cargo,Freight Forward,12.0,1,Shipments
INV000047,2025-07-17,EMP005,CUST0130,PRD006,903642.57,116844.28,2.9,901183.21,Jul,2025,Q3,Central,Freight Forward,Rep 5,Sales Manager,Healthy,India B2B Account 130,VIP,Pharma,Healthy,Sea Freight,Freight Forward,13.8,2,Shipments
INV000048,2025-07-05,EMP005,CUST0172,PRD007,923605.72,227528.34,3.88,881143.29,Jul,2025,Q3,Central,Freight Forward,Rep 5,Sales Manager,Healthy,India B2B Account 172,Growth,Electronics,Healthy,Customs Clearance,Freight Forward,25.8,2,Shipments
INV000049,2025-07-21,EMP005,CUST0053,PRD008,1002306.84,106844.21,4.47,1005455.47,Jul,2025,Q3,Central,Freight Forward,Rep 5,Sales Manager,Healthy,India B2B Account 53,VIP,FMCG,Healthy,Project Cargo,Freight Forward,12.0,2,Shipments
INV000050,2025-07-26,EMP005,CUST0119,PRD006,580566.21,74102.23,3.45,574942.86,Jul,2025,Q3,Central,Freight Forward,Rep 5,Sales Manager,Healthy,India B2B Account 119,Growth,Electronics,Healthy,Sea Freight,Freight Forward,13.8,2,Shipments
INV000051,2025-07-06,EMP005,CUST0027,PRD007,737472.8,181134.36,4.13,731521.47,Jul,2025,Q3,Central,Freight Forward,Rep 5,Sales Manager,Healthy,Zepto Dark Store,Standard,E-commerce,Healthy,Customs Clearance,Freight Forward,25.8,2,Shipments
INV000052,2025-07-04,EMP006,CUST0084,PRD010,240834.99,47058.99,0.87,244868.73,Jul,2025,Q3,North,Logistics,Rep 6,Sales Executive,Healthy,India B2B Account 84,Standard,Textile,Healthy,Last-Mile,Logistics,19.8,9,Shipments
INV000053,2025-07-01,EMP006,CUST0118,PRD010,400771.33,77800.25,1.29,411918.84,Jul,2025,Q3,North,Logistics,Rep 6,Sales Executive,Healthy,India B2B Account 118,Growth,Pharma,Healthy,Last-Mile,Logistics,19.8,10,Shipments
INV000054,2025-07-21,EMP006,CUST0136,PRD009,672698.65,133159.11,1.02,657573.2,Jul,2025,Q3,North,Logistics,Rep 6,Sales Executive,Healthy,India B2B Account 136,Standard,Manufacturing,Healthy,Warehousing,Logistics,20.1,18,Shipments
INV000055,2025-07-19,EMP006,CUST0025,PRD010,865889.04,168042.85,1.31,869532.62,Jul,2025,Q3,North,Logistics,Rep 6,Sales Executive,Healthy,Zomato Hyperpure,Growth,Manufacturing,Healthy,Last-Mile,Logistics,19.8,37,Shipments
INV000056,2025-07-02,EMP006,CUST0139,PRD012,626656.42,115579.71,1.52,634519.6,Jul,2025,Q3,North,Logistics,Rep 6,Sales Executive,Healthy,India B2B Account 139,VIP,FMCG,Healthy,E-commerce Fulfillment,Logistics,18.9,22,Shipments
INV000057,2025-07-11,EMP006,CUST0187,PRD011,686704.1,106199.88,6.12,679841.28,Jul,2025,Q3,North,Logistics,Rep 6,Sales Executive,Healthy,Metro Auto Parts,Risk,Manufacturing,Focus,Cold Chain,Logistics,17.3,40,Shipments
INV000058,2025-07-09,EMP006,CUST0174,PRD011,494304.81,79221.61,4.24,511802.43,Jul,2025,Q3,North,Logistics,Rep 6,Sales Executive,Healthy,India B2B Account 174,Standard,Electronics,Healthy,Cold Chain,Logistics,17.3,11,Shipments
INV000059,2025-07-14,EMP006,CUST0058,PRD011,644297.73,107913.86,1.84,627816.92,Jul,2025,Q3,North,Logistics,Rep 6,Sales Executive,Healthy,India B2B Account 58,Growth,Textile,Healthy,Cold Chain,Logistics,17.3,31,Shipments
INV000060,2025-07-27,EMP006,CUST0200,PRD012,812504.63,127016.36,10.89,832410.3,Jul,2025,Q3,North,Logistics,Rep 6,Sales Executive,Healthy,Apex Industrial Tools,Standard,Textile,Focus,E-commerce Fulfillment,Logistics,18.9,39,Shipments
INV000061,2025-07-09,EMP007,CUST0113,PRD002,173524.65,19567.02,3.08,169868.84,Jul,2025,Q3,South,Express,Rep 7,Regional Director,Healthy,India B2B Account 113,VIP,Pharma,Healthy,International Express,Express,12.2,487,Parcels
INV000062,2025-07-12,EMP007,CUST0047,PRD002,163616.32,18113.53,3.76,169515.83,Jul,2025,Q3,South,Express,Rep 7,Regional Director,Healthy,India B2B Account 47,Growth,Electronics,Healthy,International Express,Express,12.2,928,Parcels
INV000063,2025-07-07,EMP007,CUST0066,PRD001,217991.7,21347.9,3.69,225385.41,Jul,2025,Q3,South,Express,Rep 7,Regional Director,Healthy,India B2B Account 66,Standard,E-commerce,Healthy,Domestic Express,Express,10.9,982,Parcels
INV000064,2025-07-04,EMP007,CUST0025,PRD003,242998.29,29528.34,4.49,235528.3,Jul,2025,Q3,South,Express,Rep 7,Regional Director,Healthy,Zomato Hyperpure,Growth,Manufacturing,Healthy,Same-Day,Express,13.5,1461,Parcels
INV000065,2025-07-18,EMP007,CUST0005,PRD002,349458.2,38197.59,4.23,366260.89,Jul,2025,Q3,South,Express,Rep 7,Regional Director,Healthy,Apollo Pharmacy,VIP,Healthcare,Healthy,International Express,Express,12.2,977,Parcels
INV000066,2025-07-22,EMP007,CUST0013,PRD003,187622.75,23055.42,4.04,190689.5,Jul,2025,Q3,South,Express,Rep 7,Regional Director,Healthy,Cipla Healthcare,Standard,Manufacturing,Healthy,Same-Day,Express,13.5,1079,Parcels
INV000067,2025-07-07,EMP007,CUST0128,PRD004,143910.51,18912.44,2.19,144661.51,Jul,2025,Q3,South,Express,Rep 7,Regional Director,Healthy,India B2B Account 128,VIP,E-commerce,Healthy,COD Services,Express,13.8,568,Parcels
INV000068,2025-07-18,EMP007,CUST0091,PRD004,522114.22,65006.84,4.5,522973.59,Jul,2025,Q3,South,Express,Rep 7,Regional Director,Healthy,India B2B Account 91,Standard,Textile,Healthy,COD Services,Express,13.8,3122,Parcels
INV000069,2025-07-05,EMP007,CUST0124,PRD003,514984.04,66783.18,1.77,512986.36,Jul,2025,Q3,South,Express,Rep 7,Regional Director,Healthy,India B2B Account 124,Growth,Auto,Healthy,Same-Day,Express,13.5,2096,Parcels
INV000070,2025-07-19,EMP007,CUST0077,PRD002,225970.3,25094.1,3.65,233475.22,Jul,2025,Q3,South,Express,Rep 7,Regional Director,Healthy,India B2B Account 77,Growth,FMCG,Healthy,International Express,Express,12.2,836,Parcels
INV000071,2025-07-21,EMP008,CUST0148,PRD005,1274889.92,143558.86,2.47,1324997.05,Jul,2025,Q3,East,Freight Forward,Rep 8,Regional Director,Healthy,India B2B Account 148,Standard,Auto,Healthy,Air Freight,Freight Forward,12.0,1,Shipments
INV000072,2025-07-08,EMP008,CUST0103,PRD008,340859.2,39763.84,1.11,342012.66,Jul,2025,Q3,East,Freight Forward,Rep 8,Regional Director,Healthy,India B2B Account 103,VIP,Healthcare,Healthy,Project Cargo,Freight Forward,12.0,2,Shipments
INV000073,2025-07-01,EMP008,CUST0013,PRD005,791419.08,86426.53,3.6,754605.29,Jul,2025,Q3,East,Freight Forward,Rep 8,Regional Director,Healthy,Cipla Healthcare,Standard,Manufacturing,Healthy,Air Freight,Freight Forward,12.0,1,Shipments
INV000074,2025-07-08,EMP008,CUST0135,PRD008,436084.78,50907.51,1.09,451818.77,Jul,2025,Q3,East,Freight Forward,Rep 8,Regional Director,Healthy,India B2B Account 135,Standard,Textile,Healthy,Project Cargo,Freight Forward,12.0,2,Shipments
INV000075,2025-07-23,EMP008,CUST0149,PRD006,336437.11,44331.05,2.08,344437.5,Jul,2025,Q3,East,Freight Forward,Rep 8,Regional Director,Healthy,India B2B Account 149,Growth,Electronics,Healthy,Sea Freight,Freight Forward,13.8,1,Shipments
INV000076,2025-07-09,EMP008,CUST0059,PRD008,881289.57,96498.4,3.5,878176.82,Jul,2025,Q3,East,Freight Forward,Rep 8,Regional Director,Healthy,India B2B Account 59,Growth,FMCG,Healthy,Project Cargo,Freight Forward,12.0,1,Shipments
INV000077,2025-07-06,EMP008,CUST0067,PRD007,1208808.5,308334.5,0.98,1158761.69,Jul,2025,Q3,East,Freight Forward,Rep 8,Regional Director,Healthy,India B2B Account 67,Growth,Manufacturing,Healthy,Customs Clearance,Freight Forward,25.8,1,Shipments
INV000078,2025-07-24,EMP008,CUST0030,PRD005,1303651.61,148248.55,2.09,1367581.18,Jul,2025,Q3,East,Freight Forward,Rep 8,Regional Director,Healthy,Boat Lifestyle,Growth,Auto,Healthy,Air Freight,Freight Forward,12.0,1,Shipments
INV000079,2025-07-13,EMP008,CUST0025,PRD005,733945.87,79265.42,4.0,768852.01,Jul,2025,Q3,East,Freight Forward,Rep 8,Regional Director,Healthy,Zomato Hyperpure,Growth,Manufacturing,Healthy,Air Freight,Freight Forward,12.0,1,Shipments
INV000080,2025-07-07,EMP008,CUST0082,PRD005,506004.67,55977.84,3.12,495332.2,Jul,2025,Q3,East,Freight Forward,Rep 8,Regional Director,Healthy,India B2B Account 82,Growth,Pharma,Healthy,Air Freight,Freight Forward,12.0,1,Shipments
INV000081,2025-07-15,EMP008,CUST0133,PRD007,1310854.96,325057.43,3.34,1248796.17,Jul,2025,Q3,East,Freight Forward,Rep 8,Regional Director,Healthy,India B2B Account 133,Growth,Healthcare,Healthy,Customs Clearance,Freight Forward,25.8,1,Shipments
INV000082,2025-07-08,EMP009,CUST0009,PRD011,577716.51,93824.09,3.53,596585.4,Jul,2025,Q3,West,Logistics,Rep 9,Regional Director,Healthy,Vivo Distribution,Standard,Auto,Healthy,Cold Chain,Logistics,17.3,13,Shipments
INV000083,2025-07-13,EMP009,CUST0029,PRD010,434085.67,82579.15,2.59,426044.21,Jul,2025,Q3,West,Logistics,Rep 9,Regional Director,Healthy,Urban Company,Growth,Manufacturing,Healthy,Last-Mile,Logistics,19.8,12,Shipments
INV000084,2025-07-02,EMP009,CUST0102,PRD012,172344.26,31875.53,1.35,179143.44,Jul,2025,Q3,West,Logistics,Rep 9,Regional Director,Healthy,India B2B Account 102,Standard,Electronics,Healthy,E-commerce Fulfillment,Logistics,18.9,7,Shipments
INV000085,2025-07-23,EMP009,CUST0141,PRD009,1035527.71,200747.95,2.38,1033051.94,Jul,2025,Q3,West,Logistics,Rep 9,Regional Director,Healthy,India B2B Account 141,Growth,Pharma,Healthy,Warehousing,Logistics,20.1,27,Shipments
INV000086,2025-07-06,EMP009,CUST0169,PRD010,739942.87,143662.98,1.28,753226.84,Jul,2025,Q3,West,Logistics,Rep 9,Regional Director,Healthy,India B2B Account 169,Standard,Textile,Healthy,Last-Mile,Logistics,19.8,26,Shipments
INV000087,2025-07-03,EMP009,CUST0161,PRD009,372237.92,72373.17,2.19,360182.56,Jul,2025,Q3,West,Logistics,Rep 9,Regional Director,Healthy,India B2B Account 161,Growth,Manufacturing,Healthy,Warehousing,Logistics,20.1,8,Shipments
INV000088,2025-07-09,EMP009,CUST0025,PRD009,521512.87,103695.93,0.72,514074.51,Jul,2025,Q3,West,Logistics,Rep 9,Regional Director,Healthy,Zomato Hyperpure,Growth,Manufacturing,Healthy,Warehousing,Logistics,20.1,16,Shipments
INV000089,2025-07-19,EMP009,CUST0168,PRD011,370689.72,59621.59,4.05,386617.02,Jul,2025,Q3,West,Logistics,Rep 9,Regional Director,Healthy,India B2B Account 168,Standard,Healthcare,Healthy,Cold Chain,Logistics,17.3,22,Shipments
INV000090,2025-07-03,EMP010,CUST0083,PRD003,83931.98,10346.42,3.91,86066.14,Jul,2025,Q3,Central,Express,Rep 10,Sales Executive,Healthy,India B2B Account 83,Growth,Auto,Healthy,Same-Day,Express,13.5,414,Parcels
INV000091,2025-07-27,EMP010,CUST0148,PRD001,58425.5,5999.41,2.11,57396.85,Jul,2025,Q3,Central,Express,Rep 10,Sales Executive,Healthy,India B2B Account 148,Standard,Auto,Healthy,Domestic Express,Express,10.9,357,Parcels
INV000092,2025-07-09,EMP010,CUST0182,PRD003,308269.66,35279.89,6.85,323024.5,Jul,2025,Q3,Central,Express,Rep 10,Sales Executive,Healthy,Medicover Pvt. Ltd.,Standard,E-commerce,Focus,Same-Day,Express,13.5,1817,Parcels
INV000093,2025-07-27,EMP010,CUST0090,PRD002,168773.43,19532.1,2.09,170203.82,Jul,2025,Q3,Central,Express,Rep 10,Sales Executive,Healthy,India B2B Account 90,Standard,Electronics,Healthy,International Express,Express,12.2,430,Parcels
INV000094,2025-07-03,EMP011,CUST0024,PRD008,1238070.3,137955.73,2.86,1220573.0,Jul,2025,Q3,North,Freight Forward,Rep 11,Sales Manager,Healthy,Aditya Birla Fashion,VIP,Pharma,Healthy,Project Cargo,Freight Forward,12.0,2,Shipments
INV000095,2025-07-20,EMP011,CUST0080,PRD006,957308.27,120026.13,4.21,998738.62,Jul,2025,Q3,North,Freight Forward,Rep 11,Sales Manager,Healthy,India B2B Account 80,VIP,Electronics,Healthy,Sea Freight,Freight Forward,13.8,2,Shipments
INV000096,2025-07-13,EMP011,CUST0071,PRD006,878723.54,115076.04,2.35,892673.57,Jul,2025,Q3,North,Freight Forward,Rep 11,Sales Manager,Healthy,India B2B Account 71,Growth,Manufacturing,Healthy,Sea Freight,Freight Forward,13.8,1,Shipments
INV000097,2025-07-09,EMP011,CUST0067,PRD006,610965.99,80621.17,2.01,586199.86,Jul,2025,Q3,North,Freight Forward,Rep 11,Sales Manager,Healthy,India B2B Account 67,Growth,Manufacturing,Healthy,Sea Freight,Freight Forward,13.8,1,Shipments
INV000098,2025-07-11,EMP011,CUST0030,PRD008,452878.4,50608.23,2.75,464451.24,Jul,2025,Q3,North,Freight Forward,Rep 11,Sales Manager,Healthy,Boat Lifestyle,Growth,Auto,Healthy,Project Cargo,Freight Forward,12.0,1,Shipments
INV000099,2025-07-27,EMP011,CUST0095,PRD008,1312010.07,146067.74,2.89,1334176.18,Jul,2025,Q3,North,Freight Forward,Rep 11,Sales Manager,Healthy,India B2B Account 95,Standard,Healthcare,Healthy,Project Cargo,Freight Forward,12.0,1,Shipments
INV000100,2025-07-11,EMP011,CUST0182,PRD008,1307666.66,122025.36,8.89,1242887.31,Jul,2025,Q3,North,Freight Forward,Rep 11,Sales Manager,Healthy,Medicover Pvt. Ltd.,Standard,E-commerce,Focus,Project Cargo,Freight Forward,12.0,1,Shipments
INV000101,2025-07-01,EMP012,CUST0007,PRD009,882095.67,166958.0,3.91,881779.66,Jul,2025,Q3,South,Logistics,Rep 12,Sales Executive,Healthy,Maruti Vendor Hub,Standard,Auto,Healthy,Warehousing,Logistics,20.1,52,Shipments
INV000102,2025-07-27,EMP012,CUST0082,PRD009,923509.12,180575.04,1.82,958488.28,Jul,2025,Q3,South,Logistics,Rep 12,Sales Executive,Healthy,India B2B Account 82,Growth,Pharma,Healthy,Warehousing,Logistics,20.1,18,Shipments
INV000103,2025-07-08,EMP012,CUST0068,PRD009,323196.35,61472.3,3.6,323086.16,Jul,2025,Q3,South,Logistics,Rep 12,Sales Executive,Healthy,India B2B Account 68,VIP,Electronics,Healthy,Warehousing,Logistics,20.1,7,Shipments
INV000104,2025-07-26,EMP012,CUST0044,PRD012,1093162.53,193743.71,3.92,1059013.15,Jul,2025,Q3,South,Logistics,Rep 12,Sales Executive,Healthy,India B2B Account 44,Growth,Electronics,Healthy,E-commerce Fulfillment,Logistics,18.9,51,Shipments
INV000105,2025-07-11,EMP012,CUST0107,PRD011,266160.58,43056.38,3.74,265675.2,Jul,2025,Q3,South,Logistics,Rep 12,Sales Executive,Healthy,India B2B Account 107,VIP,Auto,Healthy,Cold Chain,Logistics,17.3,7,Shipments
